,N,p,k,I,f,om_max,life,dt
178,1000,15.0,3.0,0.6749999999999999,0.1,0.08,106.06060606060606,0.1
179,1000,15.0,3.0,0.6749999999999999,0.1,0.08,15.151515151515156,0.1
180,1000,15.0,3.0,0.6749999999999999,0.1,0.08,60.60606060606062,0.1
181,1000,15.0,3.0,0.6749999999999999,0.1,0.08,101.01010101010104,0.1
182,1000,15.0,3.0,0.6749999999999999,0.1,0.08,65.65656565656565,0.1
183,1000,15.0,3.0,0.6749999999999999,0.1,0.08,20.202020202020208,0.1
184,1000,15.0,3.0,0.6749999999999999,0.1,0.08,50.50505050505052,0.1
185,1000,15.0,3.0,0.6749999999999999,0.1,0.08,151.5151515151515,0.1
186,1000,15.0,3.0,0.6749999999999999,0.1,0.08,65.65656565656565,0.1
187,1000,15.0,3.0,0.6749999999999999,0.1,0.08,156.56565656565658,0.1
188,1000,15.0,3.0,0.6749999999999999,0.1,0.08,111.11111111111109,0.1
189,1000,15.0,3.0,0.6749999999999999,0.1,0.08,101.01010101010104,0.1
190,1000,15.0,3.0,0.6749999999999999,0.1,0.05333333333333334,40.404040404040416,0.1
191,1000,15.0,3.0,0.6749999999999999,0.1,0.08,65.65656565656565,0.1
192,1000,15.0,3.0,0.6749999999999999,0.1,0.08,116.16161616161617,0.1
193,1000,15.0,3.0,0.6749999999999999,0.1,0.08,101.01010101010104,0.1
194,1000,15.0,3.0,0.6749999999999999,0.1,0.08,90.90909090909088,0.1
195,1000,15.0,3.0,0.6749999999999999,0.1,0.08,65.65656565656565,0.1
196,1000,15.0,3.0,0.6749999999999999,0.1,0.02666666666666667,5.050505050505052,0.1
197,1000,15.0,3.0,0.6749999999999999,0.1,0.05333333333333334,80.80808080808083,0.1
198,1000,15.0,3.0,0.6749999999999999,0.1,0.08,40.404040404040416,0.1
199,1000,15.0,3.0,0.6749999999999999,0.1,0.08,85.85858585858585,0.1
200,1000,15.0,3.0,0.6749999999999999,0.1,0.08,35.353535353535335,0.1
201,1000,15.0,3.0,0.6749999999999999,0.1,0.05333333333333334,35.353535353535335,0.1
202,1000,15.0,3.0,0.6749999999999999,0.1,0.08,156.56565656565658,0.1
